,player_code,first_name,web_name,second_name,player_name,position_id,position,team,round,value,selected,fixture,round_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,expected_fpl_points
3933,152,Vicente,Guaita,Guaita,Vicente Guaita,1,GK,CRY,6,4500000,132882,NEW (A),7,90,0,0,1,0,0,0,0,0,0,5,0,90.0,0,0.0,0.0,2.83,1.0
6196,238,Illan,Meslier,Meslier,Illan Meslier,1,GK,LEE,14,4500000,255973,LIV (A),7,90,0,0,0,1,0,0,0,0,0,9,2,90.0,0,0.0,0.0,1.74,1.0
9736,377,Sven,Botman,Botman,Sven Botman,2,DEF,NEW,2,4500000,186217,BHA (A),7,90,0,0,1,0,0,0,0,0,0,0,1,90.0,0,0.0,0.0,1.5,1.0
10965,422,Gavin,Bazunu,Bazunu,Gavin Bazunu,1,GK,SOU,18,4500000,69882,FUL (A),7,90,0,0,0,2,0,1,0,0,0,1,1,90.0,0,0.0,0.0,1.53,1.0
16192,628,Serge,Aurier,Aurier,Serge Aurier,2,DEF,NFO,13,4500000,2677,LIV (H),7,90,0,0,1,0,0,0,0,0,0,0,1,90.0,0,0.0,0.0,1.66,1.0
3314,128,Thiago,Thiago Silva,Emiliano da Silva,Thiago Emiliano da Silva,2,DEF,CHE,11,5400000,744178,AVL (A),7,90,0,0,1,0,0,0,0,0,0,0,1,90.0,0,0.0,0.0,1.79,1.0
7342,281,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,1,GK,LIV,24,5400000,1485558,NEW (A),7,90,0,0,1,0,0,0,0,0,0,4,0,90.0,0,0.0,0.0,2.05,1.0
7305,280,Virgil,Van Dijk,van Dijk,Virgil van Dijk,2,DEF,LIV,12,6400000,1733887,WHU (H),7,90,0,0,1,0,0,0,0,0,0,0,1,90.0,0,0.0,0.0,1.84,1.0
6121,235,Pascal,Struijk,Struijk,Pascal Struijk,2,DEF,LEE,17,4500000,74670,MCI (H),7,90,1,0,0,3,0,0,0,0,0,0,0,90.0,0,0.1,0.03,4.2,0.69
6366,244,Rasmus,Kristensen,Kristensen,Rasmus Kristensen,2,DEF,LEE,28,4700000,38935,WOL (A),7,29,1,0,0,2,0,0,0,0,0,0,1,30.0,0,0.06,0.0,1.55,0.36
9257,358,Dan,Burn,Burn,Dan Burn,2,DEF,NEW,18,4500000,219924,LEE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.54,0.05,0.47,9.39
9465,366,Fabian,Schär,Schär,Fabian Schär,2,DEF,NEW,18,4900000,1283324,LEE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.33,0.2,0.47,8.58
1139,44,Ezri,Konsa,Konsa Ngoyo,Ezri Konsa Ngoyo,2,DEF,AVL,9,4400000,30176,LEE (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.36,0.02,0.37,8.22
1047,40,Ollie,Watkins,Watkins,Ollie Watkins,4,FWD,AVL,25,7200000,762374,EVE (A),6,90,1,0,1,0,0,0,0,0,0,0,0,90.0,0,1.53,0.03,1.71,8.21
9468,366,Fabian,Schär,Schär,Fabian Schär,2,DEF,NEW,21,5100000,1632526,CRY (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.33,0.04,0.3,8.1
9751,377,Sven,Botman,Botman,Sven Botman,2,DEF,NEW,18,4400000,450857,LEE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.31,0.01,0.47,7.89
5459,210,Aleksandar,Mitrović,Mitrović,Aleksandar Mitrović,4,FWD,FUL,3,6600000,1545465,BRE (H),6,90,1,0,0,2,0,0,0,0,0,0,0,90.0,0,1.28,0.22,1.8,7.78
5467,210,Aleksandar,Mitrović,Mitrović,Aleksandar Mitrović,4,FWD,FUL,12,6700000,3021894,AVL (H),6,84,1,0,1,0,0,0,0,0,0,0,0,80.0,0,1.38,0.06,1.03,7.7
4925,189,Demarai,Gray,Gray,Demarai Gray,3,MID,EVE,26,5300000,73492,NFO (A),6,88,1,0,0,2,0,0,0,1,0,0,0,90.0,0,1.09,0.05,0.87,7.6
17386,733,Pedro,Pedro Porro,Porro,Pedro Porro,2,DEF,TOT,26,4800000,20110,WOL (A),6,81,0,0,1,0,0,0,0,0,0,0,0,80.0,1,0.24,0.05,0.25,7.59
6724,258,Timothy,Castagne,Castagne,Timothy Castagne,2,DEF,LEI,11,4400000,235855,CRY (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.24,0.02,0.39,7.5
3312,128,Thiago,Thiago Silva,Emiliano da Silva,Thiago Emiliano da Silva,2,DEF,CHE,9,5400000,594617,CRY (A),6,90,0,1,0,1,0,0,0,1,0,0,2,90.0,1,0.16,0.15,0.44,7.41
15813,610,Manuel,Akanji,Akanji,Manuel Akanji,2,DEF,MCI,14,5000000,85280,LEI (A),6,71,0,0,1,0,0,0,0,0,0,0,0,70.0,1,0.2,0.06,0.09,7.38
2380,90,Mads,Roerslev,Roerslev Rasmussen,Mads Roerslev Rasmussen,2,DEF,BRE,21,4300000,8708,LEE (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.1,0.19,0.5,7.17
2826,108,Adam,Webster,Webster,Adam Webster,2,DEF,BHA,12,4500000,138870,NFO (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.18,0.03,0.13,7.17
11525,443,Cristian,Romero,Romero,Cristian Romero,2,DEF,TOT,11,4900000,182492,EVE (H),6,86,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.03,0.33,0.43,7.17
5602,215,Kenny,Tete,Tete,Kenny Tete,2,DEF,FUL,17,4400000,24983,CRY (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.05,0.25,0.4,7.05
8274,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,MCI,27,12200000,9450139,CRY (A),6,90,1,0,1,0,0,0,0,0,0,0,0,90.0,1,1.26,0.0,0.17,7.04
8107,312,Rúben,Dias,Gato Alves Dias,Rúben Gato Alves Dias,2,DEF,MCI,10,5900000,980567,SOU (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.16,0.0,0.16,6.96
9241,358,Dan,Burn,Burn,Dan Burn,2,DEF,NEW,1,4500000,89476,NFO (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.15,0.0,0.28,6.9
8023,308,Nathan,Aké,Aké,Nathan Aké,2,DEF,MCI,27,5100000,448121,CRY (A),6,90,0,0,1,0,0,0,0,1,0,0,1,90.0,1,0.0,0.3,0.17,6.9
3765,145,Kai,Havertz,Havertz,Kai Havertz,4,FWD,CHE,20,7800000,616891,CRY (H),6,88,1,0,1,0,0,0,0,0,0,0,0,90.0,0,1.21,0.01,0.58,6.87
244,10,Benjamin,White,White,Benjamin White,2,DEF,ARS,14,4600000,878886,NFO (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.11,0.05,0.43,6.81
11174,430,Eric,Dier,Dier,Eric Dier,2,DEF,TOT,11,5200000,1110715,EVE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.1,0.03,0.43,6.69
5791,222,Luke,Ayling,Ayling,Luke Ayling,2,DEF,LEE,25,4500000,37833,SOU (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.06,0.06,0.37,6.54
8857,342,Diogo,Dalot,Dalot Teixeira,Diogo Dalot Teixeira,2,DEF,MUN,24,4700000,478757,LEI (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.74,0.03,1.42,6.53
9248,358,Dan,Burn,Burn,Dan Burn,2,DEF,NEW,9,4500000,151979,FUL (A),6,82,0,0,1,0,0,0,0,0,0,0,0,80.0,1,0.08,0.01,0.05,6.51
12420,477,Jonathan,Jonny,Castro Otto,Jonathan Castro Otto,2,DEF,WOL,5,4400000,57828,BOU (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.07,0.02,0.42,6.48
2791,106,Lewis,Dunk,Dunk,Lewis Dunk,2,DEF,BHA,26,4700000,546598,WHU (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.07,0.02,0.38,6.48
8000,308,Nathan,Aké,Aké,Nathan Aké,2,DEF,MCI,2,5000000,134753,BOU (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.07,0.02,0.13,6.48
11147,429,Matt,Doherty,Doherty,Matt Doherty,2,DEF,TOT,11,4600000,70366,EVE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.07,0.01,0.43,6.45
9196,356,Callum,Wilson,Wilson,Callum Wilson,4,FWD,NEW,9,7200000,82644,FUL (A),6,65,1,0,1,0,0,0,0,0,0,0,0,60.0,0,1.36,0.0,0.0,6.44
2504,95,Bryan,Mbeumo,Mbeumo,Bryan Mbeumo,4,FWD,BRE,15,5800000,220605,NFO (A),6,80,1,0,0,1,0,0,0,1,0,0,1,80.0,0,0.83,0.37,0.9,6.43
9260,358,Dan,Burn,Burn,Dan Burn,2,DEF,NEW,21,4500000,340570,CRY (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.05,0.04,0.3,6.42
9754,377,Sven,Botman,Botman,Sven Botman,2,DEF,NEW,21,4500000,622454,CRY (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.06,0.02,0.3,6.42
8809,340,Jadon,Sancho,Sancho,Jadon Sancho,3,MID,MUN,24,7100000,341361,LEI (H),6,45,1,0,0,0,0,0,0,0,0,0,0,45.0,0,0.88,0.34,0.36,6.42
2838,108,Adam,Webster,Webster,Adam Webster,2,DEF,BHA,24,4500000,44126,FUL (H),6,72,0,0,1,0,0,0,0,0,0,0,0,70.0,1,0.06,0.01,0.22,6.39
279,11,Eddie,Nketiah,Nketiah,Eddie Nketiah,4,FWD,ARS,23,6800000,2727806,BRE (H) / MCI (H),6,180,0,1,0,4,0,0,0,1,0,0,0,180.0,0,0.53,0.09,4.08,6.39
6994,268,James,Justin,Justin,James Justin,2,DEF,LEI,11,4300000,176579,CRY (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.02,0.07,0.39,6.33
9255,358,Dan,Burn,Burn,Dan Burn,2,DEF,NEW,16,4500000,197411,CHE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.05,0.01,0.3,6.33
11895,457,Aaron,Cresswell,Cresswell,Aaron Cresswell,2,DEF,WHU,4,5000000,257633,AVL (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.05,0.01,0.49,6.33
1035,40,Ollie,Watkins,Watkins,Ollie Watkins,4,FWD,AVL,13,7200000,206915,BRE (H),6,80,1,0,1,0,0,0,0,0,0,0,0,80.0,0,1.03,0.07,0.95,6.33
12280,471,Ben,Johnson,Johnson,Ben Johnson,2,DEF,WHU,25,4400000,7193,NFO (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.03,0.04,0.42,6.3
9251,358,Dan,Burn,Burn,Dan Burn,2,DEF,NEW,12,4500000,183870,EVE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.05,0.0,0.17,6.3
15284,586,Pervis,Estupiñán,Estupiñán,Pervis Estupiñán,2,DEF,BHA,26,4700000,828445,WHU (H),6,75,0,0,1,0,0,0,0,0,0,0,0,80.0,1,0.02,0.06,0.38,6.3
11538,443,Cristian,Romero,Romero,Cristian Romero,2,DEF,TOT,24,4900000,140256,WHU (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.02,0.06,0.48,6.3
12417,477,Jonathan,Jonny,Castro Otto,Jonathan Castro Otto,2,DEF,WOL,2,4500000,56591,FUL (H),6,77,0,0,1,0,0,0,0,0,0,0,0,80.0,1,0.04,0.01,0.28,6.27
11889,456,Angelo,Ogbonna,Ogbonna,Angelo Ogbonna,2,DEF,WHU,25,4400000,10216,NFO (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.04,0.0,0.42,6.24
2250,85,Rico,Henry,Henry,Rico Henry,2,DEF,BRE,21,4500000,112024,LEE (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.0,0.08,0.5,6.24
1004,39,Tyrone,Mings,Mings,Tyrone Mings,2,DEF,AVL,9,4300000,368635,LEE (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.02,0.03,0.37,6.21
12246,470,Issa,Diop,Diop,Issa Diop,2,DEF,FUL,17,4300000,29108,CRY (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.03,0.01,0.4,6.21
5654,217,Antonee,Robinson,Robinson,Antonee Robinson,2,DEF,FUL,17,4400000,14989,CRY (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.0,0.07,0.4,6.21
11228,432,Ben,Davies,Davies,Ben Davies,2,DEF,TOT,11,4900000,87166,EVE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.0,0.07,0.43,6.21
7441,285,Trent,Alexander-Arnold,Alexander-Arnold,Trent Alexander-Arnold,2,DEF,LIV,23,7300000,1810076,EVE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.0,0.07,0.28,6.21
239,10,Benjamin,White,White,Benjamin White,2,DEF,ARS,8,4500000,558350,BRE (A),6,85,0,0,1,0,0,0,0,0,0,0,0,80.0,1,0.0,0.06,0.49,6.18
13389,513,Clément,Lenglet,Lenglet,Clément Lenglet,2,DEF,TOT,24,4800000,37148,WHU (H),6,77,0,0,1,0,0,0,0,0,0,0,0,80.0,1,0.01,0.04,0.3,6.18
7774,299,Kyle,Walker,Walker,Kyle Walker,2,DEF,MCI,2,5000000,1010716,BOU (H),6,81,0,0,1,0,0,0,0,0,0,0,0,80.0,1,0.0,0.05,0.13,6.15
11086,427,Harry,Kane,Kane,Harry Kane,4,FWD,TOT,3,11400000,1614483,WOL (H),6,90,1,0,1,0,0,0,0,1,0,0,1,90.0,0,0.94,0.13,0.71,6.15
