,player_code,first_name,web_name,second_name,player_name,position_id,position,team,selected,season_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,xbonus,expected_fpl_points,fpl_points_over_expected
38,39.0,Tyrone,Mings,Mings,Tyrone Mings,2.0,DEF,Aston Villa,11869639.0,84.0,2160.0,0.0,3.0,8.0,33.0,1.0,0.0,0.0,4.0,0.0,0.0,12.0,2160.0,6.0,0.29000000000000004,0.83,35.59,6.0,70.23,-13.77
39,40.0,Ollie,Watkins,Watkins,Ollie Watkins,4.0,FWD,Aston Villa,10747954.0,115.0,2143.0,9.0,6.0,8.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,2140.0,6.0,9.96,2.0100000000000002,35.49,13.0,108.87,-6.13
40,41.0,Marvelous,Nakamba,Nakamba,Marvelous Nakamba,3.0,MID,Aston Villa,455957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,42.0,Emiliano,Buendía,Buendía Stati,Emiliano Buendía Stati,3.0,MID,Aston Villa,1349076.0,85.0,1627.0,5.0,1.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1615.0,5.0,4.5,1.98,27.85,6.0,81.44,-3.5600000000000005
42,43.0,Matty,Cash,Cash,Matty Cash,2.0,DEF,Aston Villa,15472265.0,53.0,1636.0,0.0,2.0,4.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1635.0,2.0,0.19999999999999998,0.9500000000000001,24.77,2.0,48.05,-4.949999999999999
43,44.0,Ezri,Konsa,Konsa Ngoyo,Ezri Konsa Ngoyo,2.0,DEF,Aston Villa,975134.0,72.0,2332.0,0.0,0.0,8.0,38.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2330.0,6.0,0.86,0.64,38.98,5.0,75.08,3.08
44,45.0,Leon,Bailey,Bailey,Leon Bailey,3.0,MID,Aston Villa,16284689.0,86.0,1606.0,4.0,4.0,7.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1580.0,3.0,4.81,3.34,31.87,13.0,87.07,1.0699999999999987
45,46.0,Douglas Luiz,Douglas Luiz,Soares de Paulo,Douglas Luiz Soares de Paulo,3.0,MID,Aston Villa,1309496.0,88.0,1946.0,3.0,5.0,8.0,29.0,0.0,0.0,0.0,4.0,1.0,0.0,9.0,1960.0,6.0,1.85,2.16,31.56,3.0,70.73,-17.27
46,47.0,Jacob,Ramsey,Ramsey,Jacob Ramsey,3.0,MID,Aston Villa,2672070.0,74.0,1676.0,3.0,3.0,7.0,26.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,1690.0,6.0,1.97,1.5799999999999998,28.81,4.0,66.59,-7.41
47,48.0,Carney,Chukwuemeka,Chukwuemeka,Carney Chukwuemeka,3.0,MID,Chelsea,1322773.0,14.0,222.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.28,0.14,3.94,0.0,10.82,-3.1799999999999997
